Gene,log2FC,p-value
LDB2,-0.196395831,0.678709706
NCBP2-AS1,-0.368509209,0.678739623
EGFR-AS1,-0.626081978,0.67970646
C9orf152,0.50684641,0.679952737
NLRP2B,0.632049713,0.679965836
LOC105377548,0.750235583,0.679965836
LINC00310,0.345464072,0.680123978
SLC26A1,0.343981108,0.680147605
PRXL2B_1,0.655654863,0.680515753
SLC4A8-AS1,0.766025151,0.680605351
EHMT2_1,-0.514105058,0.680646639
TUBB_3,0.383639921,0.680667376
LOC105370993,-0.794956262,0.680917067
HYDIN2,-0.325337218,0.68094663
AKT3_1,0.34729022,0.68094663
NFAM1,-0.235285959,0.681050224
ZDHHC18,-0.11524224,0.681192731
UNC50,-0.070265593,0.681192731
LAMB3,-0.401117493,0.681201961
TCF20_6,-0.801518819,0.681453835
IGFLR1,0.122132773,0.681742037
TNRC6A,-0.152175028,0.682166305
LOC105374263,-0.782993581,0.682183525
TIMM17A,0.071185424,0.682239554
ZNF852_1,0.785169882,0.682324864
LOC101927478,0.723330661,0.682843318
LOC105369631,-0.602666021,0.682897689
RETSAT,0.088588499,0.682897689
SNORC,0.179474071,0.683014284
TP73-AS1,0.05473184,0.683170677
DPH6-DT,0.438083973,0.683170677
RING1_4,-0.677227406,0.683483482
SHFL,0.252035161,0.683483482
PTOV1,0.071620003,0.683540345
LOC105378400,0.778396298,0.683540345
TSEN34_1,0.769494682,0.683701602
LOC729732,-0.774968708,0.683839983
NUBP2,-0.109784232,0.683858464
ARMCX5,0.067321602,0.684082354
SFRP5,0.458946332,0.684082354
PAK6-AS1,-0.796036383,0.684169376
LOC107986000,0.763853368,0.684169376
LOC100129066,0.659969935,0.684188303
CRX,0.255036464,0.684309899
LOC103908605,-0.318723883,0.684320712
DMPK,-0.118894758,0.684479699
LOC389247,0.192787221,0.684524981
PAPLN-AS1,-0.695537246,0.684703146
TOMM7,-0.141744622,0.684703146
FAAHP1,0.371372321,0.684703146
LOC105371378,-0.781828008,0.68491019
TCF7L1-IT1,-0.698283423,0.684924418
AKAP17BP,-0.347414052,0.684924418
LOC107986305,-0.746300548,0.685465961
SNTG2,0.206122855,0.685612491
FABP7,-0.166825942,0.685798763
C2orf73,-0.768360896,0.685890214
SEBOX,-0.756100722,0.685911609
MNS1,0.374181616,0.686070533
LOC102723834,0.768566733,0.686288089
RNY1,0.621740197,0.68644476
C2CD6,-0.316342654,0.68701329
FIRRE,-0.139571318,0.68701329
VCX3A,-0.745867575,0.687040737
RTP4,0.72706287,0.687208671
AAR2,0.074749719,0.687313858
LINC00942,-0.477236327,0.687388429
C6orf136_3,0.403959164,0.687388429
LOC105376154,-0.699749227,0.687619636
LRRC37A2_2,-0.188259615,0.687619636
LOC105377399,0.35501309,0.687619639
LOC107984581,0.607813461,0.687648322
NSD1,0.078915549,0.687728959
ZSCAN22,0.094179394,0.687728959
RALY,0.082122733,0.687964204
LOC100130256,0.397502609,0.688032828
LOC105374934,0.785592474,0.68832727
PHF12,-0.060141614,0.688911875
LOC105379283,-0.318148879,0.688946225
SCAMP1-AS1,0.120273071,0.688993077
LOC105371873,-0.767079457,0.68905931
PON3,0.652396054,0.689201249
ZNF805,-0.115341526,0.689359101
LOC105374423,-0.778819586,0.689421191
LOC112268189,0.63109582,0.689575141
LOC105378179,-0.280143855,0.689934625
RNFT2,0.157502458,0.690006623
LOC101929479,0.170984639,0.690006623
HOPX,0.386404298,0.690294604
PLAC8L1,0.299488917,0.690333326
ABI1,-0.039132276,0.690381792
CD86,-0.771162299,0.690487144
RPEL1,-0.273098563,0.690487144
CIART,-0.136457457,0.690585546
PLA2G2A,-0.713657502,0.690605165
UBE2NL,-0.462000817,0.690621996
TMLHE-AS1,0.74924605,0.690621996
CCN5,0.650271518,0.69065007
LOC105371855,0.640322611,0.690692598
TGFB2-AS1,-0.73919302,0.690738731
NADK2-AS1,-0.276851123,0.690738731
IL6ST,-0.141070001,0.690738731
GPAT2,0.240953414,0.690840054
ZMYND12,0.24085046,0.690939588
FUNDC2P2,-0.427619962,0.69097483
TRIM48,-0.774056613,0.691430051
SNED1-AS1,-0.769024369,0.691456518
LOC105370419,0.779590708,0.691507012
LOC105369318,0.755655405,0.691623324
TLK2,0.048059693,0.691734057
GABRR1,-0.599128258,0.691794361
PLEK2,-0.360211301,0.691794361
SHKBP1,0.072715656,0.691794361
C7orf57,-0.423950059,0.691865341
NFATC2IP,-0.069773423,0.691865341
LOC105371982,-0.73201213,0.691939046
OLFM4,-0.650321131,0.692247561
LOC105370964,0.738493837,0.692247561
LINC00348,0.779042948,0.692248751
MIR7107,-0.450948223,0.69236582
RPL32P3,-0.086480557,0.69236582
ZRSR2,0.081758148,0.69236618
ZNF137P,-0.111807254,0.692576507
NPIPB8,0.576664038,0.692576507
LINC02414,0.777002747,0.692576507
LOC101928487,0.25501794,0.692665318
LOC107984275,-0.441144414,0.693063212
INTS6-AS1,0.225293964,0.693228858
MGAT4D,0.771878353,0.693289583
RORB,-0.157917691,0.693395484
FOXO6,-0.406801248,0.693447677
LOC102723624,0.744834815,0.693504813
PPP1R26-AS1,-0.160736432,0.693608464
MIR943,0.620806631,0.693608464
LOC105372027,0.766851695,0.693641562
SOX7_1,-0.52106709,0.693826552
MIR6845,0.496969808,0.69423205
LOC105379409,0.647016645,0.694395978
LMNTD2,0.444970453,0.694830564
TYRP1,-0.737167958,0.695030229
CCT6P1,0.099965523,0.695030229
NUDT2,-0.094167678,0.69503835
GATAD2B_1,0.569019629,0.69503835
ADH1B,-0.722066359,0.695418221
LOC105372791,0.227936819,0.695431233
ARSK,-0.068421575,0.695689652
SRARP,-0.703337517,0.695986177
RNU6-2,0.247399378,0.695994242
LOC105373902,-0.700090432,0.696027442
LINC00311,-0.731755767,0.696344994
CECR7,-0.714218289,0.696379482
GSX2,-0.628378299,0.696379482
SNRPD3,-0.101470404,0.696379482
CFAP99,0.493467871,0.696379482
GEMIN6,-0.130995266,0.696542062
LOC105373406,-0.692359311,0.696833012
LOC105378914,-0.675253462,0.696833012
ALDH16A1,0.100485774,0.696833012
MARF1_1,0.340968315,0.696833012
LOC105370887,0.661149752,0.697014546
MINDY4B,0.665904017,0.69716762
GSTM4,-0.093124327,0.69741522
LINC00922,-0.620466148,0.697466197
NUP42,0.059811962,0.697466197
LINC02883,-0.29701168,0.69764729
LOC105373553,0.726195654,0.697692262
ACOXL-AS1,0.396647364,0.697763911
CHMP1B,-0.077769897,0.698121748
CNOT6L,0.138885008,0.698121748
LOC105369722,0.743747872,0.6981424
LOC105370974,-0.7625957,0.69829734
NOC4L,-0.558527023,0.69829734
ADM2,-0.148200439,0.698465817
B3GLCT,0.082342148,0.698543393
LMLN,0.126276016,0.698578251
LOC105370273,0.708219634,0.698578251
KCNIP2-AS1,0.348608073,0.698672755
LOC100507103,0.397536858,0.699038149
SRCAP,-0.118187437,0.699123632
PRSS3,0.358722214,0.699123632
PRRC2A_2,0.532579113,0.699262538
TMPRSS7,0.54094308,0.699401088
EFCAB14-AS1,-0.591900839,0.699560142
NENF,0.176474893,0.699560142
IL3RA_1,-0.588366382,0.699563324
LOC105370816,0.635394149,0.699812198
PPIAL4A,0.539407945,0.6998292
MIRLET7G,-0.673798097,0.699874959
ACHE,0.192705014,0.700053783
ASB13,-0.102681171,0.700121656
LINC01889,-0.532522222,0.70019082
SPATA2,0.098351584,0.70022199
LOC107984219,0.633749916,0.700370478
STAB1,-0.355359576,0.700411497
LOC100287049,-0.186407467,0.700467657
MEDAG,0.176964036,0.700467657
PWRN1,0.648358186,0.700549993
BORCS5_1,0.294202021,0.700646785
PRDM8-AS1,-0.664293898,0.700782387
GALR2,-0.250457798,0.700823801
SOX5,-0.121117961,0.701109157
FAM229A,0.1706968,0.701872069
CFP,-0.278387719,0.701982043
LOC112267955,0.603567034,0.701991621
CDK13,0.039268511,0.70229207
NLRP14,0.213546381,0.702559951
TNK2-AS1,0.198647473,0.70268435
LINC00222,0.6242541,0.70279173
ZNF582,-0.093169867,0.702871734
LOC112268421,-0.532401573,0.703393329
LINC02513,0.741386695,0.703530899
IBA57-DT,-0.45733315,0.70365693
FAM166A,-0.489118965,0.703718927
EEF2K,-0.228180702,0.70394927
MRPL34,0.146632193,0.704089314
SNORD140,-0.475663578,0.704089797
CD300E,0.733096624,0.704241111
LOC107984190,-0.472448033,0.704744233
PPFIA4,-0.241370492,0.704744233
BID,-0.155005774,0.704744233
ZBED6,-0.154254656,0.704882867
DNAH7,-0.354498433,0.70489648
ZBTB32,0.234333605,0.705145963
ZNF518A,-0.095449131,0.705156159
ZFX,0.061205846,0.705157462
LNX1,-0.323532427,0.70527285
LOC105374600,0.72499616,0.70590933
TSSC2,-0.21231416,0.706075686
COL11A2,-0.661800509,0.706078193
HRAS,-0.557563827,0.706167653
CHFR,0.050618985,0.706167653
LOC105376411,-0.74695294,0.706264892
ABHD16A_3,0.714654553,0.706369792
MIR99AHG,0.412905686,0.706427677
LOC112267875,0.74654093,0.706437357
LOC107985551,-0.510766118,0.706479605
WNT7A,-0.675014649,0.70648554
MHENCR,0.150327545,0.706646077
LOC105375337,-0.424145852,0.706658034
SMG1P2,-0.137342722,0.706757539
KLHL26,-0.081400661,0.706784368
LOC105375211,-0.74068818,0.706896255
TRNR,-0.183710632,0.706896255
SLC44A3-AS1,-0.174611132,0.706896255
KCNIP4-IT1,0.741325949,0.706896255
RGS20,-0.20683746,0.706940723
KLF9-DT,-0.674524055,0.707124051
SLC6A13,0.335572916,0.707155108
LOC105378589,0.491483287,0.707155108
LOC105377659,-0.298150473,0.707205943
LOC105370507,-0.698899827,0.707331447
LINC01278,0.068927203,0.707331447
LINC01389,0.465875213,0.707331447
DCAF6,-0.063625066,0.707354383
TNFSF14,-0.667168324,0.707687285
LOC105372279,-0.254649915,0.707854512
ABHD18,-0.055064152,0.707974081
FAM120C,0.070623141,0.708127243
HBP1,-0.546957055,0.708303909
SBDS,0.115706716,0.708372207
SLAMF1,-0.684582585,0.708402246
SSU72,-0.071995986,0.708402246
RNF34,0.044479466,0.708402246
SMCR2,0.324402842,0.70841496
MAP6D1,-0.141672125,0.708419904
AGK_1,-0.496056972,0.708542176
LOC728554_1,-0.46150591,0.708542176
LOC107986126,-0.341499592,0.708542176
TBC1D3F,0.742372743,0.708542176
LOC105375472,0.742227232,0.708645703
SLC6A4,-0.402302107,0.708809187
ZNF337-AS1,-0.188787618,0.708809187
HTATSF1P2,-0.169475733,0.709001194
BHMT,0.286937857,0.709250651
PRKAR2B_1,0.612800844,0.709449094
COQ7-DT,-0.461430797,0.709672897
LOC105375615,0.464489793,0.709672897
NOX5,-0.715855149,0.709717906
CT66,0.496246471,0.709723449
CASQ2,-0.285067406,0.709725867
AGBL4,0.335697019,0.70974314
PKD1P1,-0.217017244,0.709967957
PCDHGB3,-0.312975544,0.709978758
LOC105374663,0.726802538,0.710206717
ZNF625,0.119667073,0.710275696
NLRP3,0.226193689,0.710275696
APOO,-0.089069278,0.710297294
LOC101928045,-0.275325391,0.710314801
JCHAIN,0.698192752,0.71046607
LOC105375284,-0.675502134,0.710737361
LOC107986163,0.208109337,0.710780553
TWF2,-0.08786787,0.7109997
LOC101927830,0.516569332,0.7109997
LOC105371573,-0.366439641,0.711082125
AQR,-0.066791583,0.711091937
LOC102723758,-0.640917961,0.711325383
ZBTB8OS,-0.074244126,0.711325383
WDR53,-0.076732086,0.711706212
LOC105373835,0.690089169,0.711884678
SPESP1,0.645244059,0.712551353
CRTAM,0.728013936,0.712551353
F2RL3,-0.663295602,0.712594018
ALDH1L1-AS2,-0.593748884,0.712594018
LOC283028,0.377859953,0.712757486
OSBPL7,0.15597933,0.712988841
HELZ2,0.107098994,0.713059094
COL4A2-AS2,-0.539965387,0.713163925
IL1RL2,0.399247286,0.713163925
MRPL30,0.079215433,0.713184972
LINC01124,-0.673314471,0.713191764
OVCA2,-0.178406057,0.713296238
LINC00842,0.659360126,0.71332223
LOC105378789,-0.715402332,0.713327891
NPIPB4,-0.236745069,0.713327891
ARLNC1,0.279244125,0.713667422
LOC107986007,0.320041846,0.713674308
LOC147004,0.524902834,0.713674308
KRT10-AS1,0.095461072,0.713685676
LOC100132004,0.729380401,0.713690264
JARID2-AS1,0.373785442,0.713755213
MANSC4,0.361609844,0.713805756
PPFIA1_1,-0.439360728,0.714238724
HEATR4,-0.244788469,0.714238724
LOC105375634,-0.432801387,0.714272242
SLC6A3_1,0.729127058,0.714455189
MTX1_1,-0.722965906,0.714467075
ZNF826P,-0.119872537,0.714467075
MRPL20,-0.098927471,0.714619886
LOC105371399,0.326037625,0.714749566
GNL1_7,0.724569084,0.715205683
ABCC2,0.224274734,0.715368745
LIFR,-0.142155973,0.715515992
LOC105374976,0.620518201,0.715599269
SMPD4,0.088583398,0.715604195
NPSR1-AS1,-0.546133965,0.715624938
BBOX1,0.427193657,0.715725065
WDR24,0.08794816,0.715763946
C1orf189,0.497203486,0.715922437
TFAP2D,-0.705088439,0.715928723
TRM-CAT6-1,0.443459965,0.715928723
LOC107986343,0.725605547,0.715962811
LOC440910,-0.350160606,0.716004733
TMEM17,-0.124412477,0.716004733
LOC107984285,-0.241713424,0.716201199
SGSM3,-0.077858261,0.716201199
SOD1,-0.069074763,0.716271467
CHD7,-0.085839362,0.716496848
DSG1,0.657268988,0.716496848
FBXO30,-0.046731881,0.717168894
MCCC2,-0.089931716,0.717201542
LOC105377742,0.624717384,0.717286508
ZNF544,-0.062417116,0.717319253
QRSL1,-0.039816007,0.717366562
HEXIM2,0.115322868,0.717465241
NUTM2B-AS1,0.079070541,0.717748921
NPFFR2,-0.31807939,0.717833184
SNORA15B-2,-0.691032471,0.71785355
LOC105369533,-0.703211894,0.717969661
PELI3,-0.120709867,0.717969661
LOC107986190,-0.71505434,0.718012832
MTLN,-0.133829119,0.718012832
TM2D1,0.135381044,0.718012832
LOC105369165,0.72072479,0.718012832
FLJ46875,-0.200908638,0.718080426
CFAP20,-0.089953934,0.718431448
LOC107985029,0.642823125,0.718526087
LINC02126,-0.651884226,0.718543371
MED31,-0.12795697,0.718665038
LOC107986477,0.431685619,0.718673464
LOC107985392,0.645416222,0.718673464
LOC105374069,-0.718506842,0.718728425
GRID1-AS1,0.718695251,0.718770218
LOC107985904,0.718705049,0.718770218
LOC107985119,-0.617404912,0.718808961
MIR7856,0.59661632,0.719159628
FAM161A,0.113261964,0.71920168
RECK,-0.073701609,0.719811885
TRNS1,-0.271945923,0.719825647
DTNB,0.08721365,0.719838306
SAFB,0.060112478,0.719965512
LOC107987046,0.552236356,0.720542196
CGA,-0.60162276,0.720785204
MTRNR2L9,0.658694493,0.720785204
LOC100132686,0.714383487,0.720785204
LOC105378585,-0.391096142,0.720823012
ZNF831,0.694959724,0.72115928
TMEM89,-0.684072437,0.721246248
LINC01039,0.668233758,0.721246248
LOC105372997,0.393814586,0.721335252
PDZD3,-0.672644625,0.721803035
STARD7,0.051273324,0.721803035
MGC70870,0.56699137,0.721825467
TTC30B,0.104346982,0.722254453
OGN,-0.664361098,0.722403907
LINC01622,0.703860202,0.722707499
ZNF32-AS3,-0.457715065,0.722730378
LINC00299,-0.706764302,0.722765963
PRR29-AS1,0.671307841,0.723056828
GPR34,-0.565428855,0.723057588
SLC6A10PB,-0.440908317,0.723279286
SIGIRR,-0.196717266,0.723279286
RS1,0.494891642,0.723279286
LOC105374966,0.688694386,0.723360097
LINC01587,-0.680877996,0.723484734
LOC107985733,0.186379422,0.723725683
LOC643339,0.707069478,0.723734355
DNAJB5-DT,-0.648424557,0.723901791
MYPOP,-0.112799836,0.723901791
PIH1D1,-0.08666581,0.723901791
MAPK6,0.057028719,0.723901791
LOC112268307,0.645779642,0.723901791
LOC107984942,0.707875777,0.724034812
LOC105369809,-0.697185393,0.724154982
LOC107986072,-0.664102419,0.724154982
SHISAL2A,-0.216935057,0.724154982
CMKLR2,-0.665793038,0.724278576
MORC3,-0.070637444,0.724546122
LOC105377623,0.204664693,0.724546122
LOC105369952,0.475607222,0.724567057
LMO4,-0.107546211,0.724863665
PCDHB19P,0.291280415,0.724863665
TLR10,0.605665225,0.724863665
LOC105377684,0.705191002,0.724992563
LOC105371433,0.273936235,0.72536011
COMMD10,-0.105408772,0.7253656
GPATCH8,0.063102646,0.7253656
LOC101928402,0.230643809,0.725429559
UBXN10,0.205946079,0.725526962
TSL,-0.54521492,0.725536852
ZNF623,0.195820929,0.725584408
LOC105372347,-0.63878758,0.725633187
LOC112267965,0.242559524,0.725749407
LOC105374998,0.600218633,0.725794035
LOC105369515,-0.630032206,0.725897053
SDHAP2_3,-0.463845864,0.726168578
LOC105371629,-0.278587846,0.726190712
LOC105374007,-0.673315112,0.726303918
KIF27,0.143318278,0.726446433
SOX7,0.312670617,0.726475046
HAVCR2,-0.305418562,0.726609367
MID1IP1-AS1,-0.13289042,0.726609367
MIRLET7BHG,0.696335107,0.726658145
LOC105376542,0.5316636,0.726711822
IFTAP,0.079127687,0.727127104
LOC107985499,-0.697379298,0.7271543
UTP4_1,-0.438777527,0.7271543
LOC105372311,-0.442541887,0.727347744
GSKIP,-0.070755762,0.727365435
PSMC1,0.124945729,0.727463346
ZNF174,-0.059760708,0.727927575
DDAH2_1,-0.605316191,0.728072376
LOC105370549,-0.290507222,0.728299222
TRIM73,-0.260077579,0.728299222
RFX4,-0.35146638,0.728422115
LOC101928004,-0.47021531,0.72849111
LOC105374724,0.585002832,0.728615181
LINC02560,-0.337280411,0.728628215
LOC107984708,0.607325447,0.729372888
MBD3L2,-0.683580421,0.729480769
LINC01567,0.61574715,0.729948317
LOXHD1,-0.563578298,0.730223256
DIP2A,-0.092091496,0.730324862
C12orf50,0.693490357,0.730670431
LOC105371083,-0.384336641,0.730708342
LOC101928505,0.594299345,0.731225672
LOC105371688,0.682315038,0.731240535
TMEM52B,-0.632101743,0.731747648
SPATA33,-0.100340662,0.731767301
WDR49,0.346181147,0.731767301
WNT2,0.666992615,0.731767301
MROH6,-0.483048712,0.73179196
CNOT3_8,-0.687735262,0.731902587
COL6A4P1,0.655477231,0.732137968
HSD17B10,-0.101049822,0.732546663
SIGLEC1,0.61622212,0.732546663
LOC105369811,0.629983443,0.732594753
PMS2P3,0.114842624,0.732715627
PCYT2,0.105758615,0.732782718
FBXW10,-0.578576215,0.732799197
GRIK1-AS1,-0.402270523,0.732799197
MADCAM1,-0.363449364,0.732828572
CTRC,0.612759915,0.732969141
HCG18_4,-0.072931973,0.733126351
HSD17B1,0.173955987,0.733488736
MAD2L1BP,-0.066360477,0.734139141
PGD,0.063239484,0.734202397
SKIV2L_4,-0.637991559,0.734243282
AGXT2,-0.612057036,0.734250177
LINC01709,-0.594131497,0.734418916
MTRNR2L8,-0.248909151,0.734418916
LOC107985792,0.683633349,0.734418916
LOC105377872,-0.577960708,0.734593899
LOC105370753,0.670659423,0.734593899
ADCY10,0.270791179,0.734819886
LOC105369531,-0.587255148,0.734849086
METTL9,0.231331713,0.734851496
SELENOP,-0.387837378,0.734921253
HS1BP3-IT1,0.499726091,0.734928561
ARHGAP4,-0.136742083,0.734941555
RXRB_4,0.455804884,0.734941555
PARAL1,0.51554851,0.734941555
LOC105370831,0.670454522,0.734968975
PPP1R8,-0.091681238,0.73506788
PYCARD-AS1,0.537456725,0.735082411
VAX1,0.221729832,0.73510345
TMPRSS4,-0.599253017,0.735274756
LOC105373757,0.618316362,0.735274756
GPR151,0.654938877,0.735274756
HNF1B_1,-0.552031895,0.735429294
KIAA1958,-0.077821007,0.735521264
QARS1,-0.06627631,0.736148898
GOLGA8B,-0.246958528,0.736151103
FGF22,0.234925164,0.736252632
CUTA_1,0.540467607,0.736381052
LDB1,0.127026635,0.736454659
CALCA,0.485113627,0.736466919
LOC107984990,-0.441687128,0.736490759
AMHR2,-0.32184258,0.736671554
LOC112268166,0.583988634,0.73680265
SH2D4B,-0.394463062,0.736804344
TMPRSS11D,-0.625088803,0.736860441
PNLDC1,0.378316195,0.737160602
HERC2P3,0.441100498,0.737276307
INTS1,0.080491763,0.737386341
KLHL7-DT,0.256439907,0.737632871
MZB1,-0.645490053,0.737681843
LOC100996385,-0.507634809,0.737681843
CCDC106,0.098304426,0.737681843
LAMA5-AS1,0.60734129,0.737681843
LOC105377530,0.641815745,0.737681843
LOC107985502,0.663775974,0.737681843
TSG1,0.452745089,0.737782152
LOC105369322,0.31932217,0.73786633
COX17,0.159373943,0.737924403
RAET1K,-0.401165807,0.737940592
NPIPA1_1,-0.242305842,0.737940592
LBHD2,0.505126438,0.737940592
LOC100129878,0.667614726,0.737940592
LOC105374258,0.645470424,0.738304675
LOC105374323,0.62285511,0.738365948
ACTRT3,0.173214488,0.738486829
RNASE4,0.236391286,0.738486829
LOC101928095_1,-0.664841916,0.738606113
OR51E1,-0.670758337,0.738693184
LOC102723672_2,0.276072529,0.738742912
TXNDC8,0.625249117,0.738861965
COL4A4,-0.286081089,0.738950509
GPANK1_2,-0.609976355,0.739022016
MTRNR2L4,-0.498294471,0.739022016
LOC105374353,-0.437345163,0.739022016
LOC100288123,-0.228288174,0.739124381
SLC25A53,0.0945777,0.739246028
APOM_6,-0.623962213,0.739321832
IL10RB-DT,-0.282778279,0.739940459
CCDC39,-0.192302854,0.739970124
TTC21A,-0.200659193,0.740079028
B3GNT6,-0.664220558,0.740181765
FSIP2-AS2,0.618425677,0.740276098
LINC00629,-0.322787971,0.740448829
LOC105375754,0.621447738,0.740578489
LOC105376506,-0.469004878,0.740589512
LOC105378913,0.364978247,0.740624107
RAP2C,-0.043238753,0.74062783
LOC105374021,0.579384325,0.74103982
LYRM1,0.052687121,0.7410651
HEATR5A-DT,-0.375327043,0.7410775
TFE3,0.099093234,0.7410775
LOC105371271,0.399076147,0.7410775
PRR29,0.244374532,0.741159778
ZMYM4-AS1,0.577094177,0.741191621
ATP11A-AS1,0.663154641,0.741191621
CSAG3,0.643249431,0.741539889
LOC105373190,-0.659715859,0.741683854
MROH9,-0.655154664,0.741683854
ARL17A_1,0.247134505,0.741770293
LOC105378378,-0.55457305,0.74220738
LOC100133315,0.133136397,0.7423045
LOC107985120,-0.659766161,0.742334211
CXCR5,-0.591611577,0.742334211
RNF25,0.133772403,0.742367711
PMS2P2,0.251317693,0.74241473
MGC4859,-0.297853047,0.742420471
CARD8,0.086180845,0.742428937
ATF3,-0.112980748,0.742429338
SEPTIN7P11,0.241925386,0.742429338
JSRP1,0.270471899,0.742429338
GTF2IP12,-0.16339052,0.74252996
KRT18P55,0.333433897,0.742628177
TNK1_1,-0.664785545,0.742634314
LOC105373690,0.252350722,0.742889569
GIGYF1,-0.115787727,0.743214326
FABP5P3,-0.576236848,0.743457975
CPEB1-AS1,-0.385213628,0.743458226
RASSF10-DT,-0.356227884,0.743458226
CYP2G1P,-0.589592554,0.74385261
LOC100268168,-0.184765538,0.744070249
MBOAT7_1,-0.498618261,0.744365525
BLZF1,0.047424557,0.744442213
LOC105376453,0.468830078,0.74450493
WDR86,-0.199859613,0.74464152
CDHR4,-0.521985892,0.744718891
TAPT1-AS1,0.143861915,0.744783771
LOC107985381,-0.569269723,0.744821924
RALBP1,-0.037143173,0.744821924
LOC105373734,0.520079619,0.744821924
BAAT_1,0.584116241,0.744916051
CNTLN,0.131788442,0.745132159
LOC107985584,0.593424163,0.745135941
CYP4F30P,-0.429146188,0.745345049
ENTPD2,0.335298115,0.745345049
LOC105371672,-0.568471936,0.74534733
LOC107985295,0.553254917,0.74547182
LOC105375749,-0.56605165,0.745657763
TSPYL6,0.652441567,0.745674678
LOC105376958,-0.47182487,0.745726122
LOC101927495,-0.620975958,0.74616073
LDLRAD3,-0.082065173,0.746162331
LOC105371654,-0.55695246,0.746355434
ZSWIM8-AS1,-0.226292671,0.746439681
FGR,0.623296648,0.746439681
ARHGAP27P2,-0.462762791,0.746883307
HSFX2,-0.625991495,0.747041001
RCAN1,0.140286753,0.747041001
GNL1_5,0.611305725,0.747041001
LOC105373146,0.524843906,0.747057824
LAMP5-AS1,0.638657972,0.747057824
LOC105372118,-0.32649207,0.747282592
LOC105379720,-0.497254591,0.747322651
CHORDC1P4,-0.136497392,0.747497049
LOC107985657,0.549790633,0.747497049
SF3B5,-0.111003214,0.748235061
LOC105372337,0.262800251,0.748235061
LOC105375328,0.304313117,0.748270703
LOC100289473,-0.363839088,0.748410969
LOC101929657,0.30790527,0.748410969
TBC1D3P1-DHX40P1,0.351033917,0.748520863
LINC01370,0.653210922,0.748520863
MGARP,0.220933938,0.74858779
RPS9_8,-0.633748804,0.748690427
OR2L1P,-0.603142614,0.748778488
C1orf198,-0.058323882,0.748853997
PDE9A-AS1,-0.638135826,0.748938699
GOLGA6L9,-0.178575304,0.748938699
LOC107985034,-0.397510506,0.749401153
SMIM27,-0.121469447,0.74944892
LOC105377720,0.63828653,0.749618816
OLIG2,0.232362273,0.749769073
SLC28A1,-0.463707909,0.749810293
ZNF8-ERVK3-1,-0.172643689,0.749918419
LOC107987108,-0.640117629,0.750700987
RBM33,0.072824252,0.750700987
BPNT2,0.044893142,0.750713094
SPAG7,-0.067141194,0.750833075
LINC02034,0.368548959,0.750833075
UBE3C,0.056705245,0.750851165
SOAT2,-0.640317747,0.750861776
KLF3-AS1,-0.13067058,0.750861776
POLR3H,-0.111252867,0.750861776
CNOT3_4,0.6037215,0.750944814
LINC02016,-0.619219435,0.751081163
LOC102723814,0.251227034,0.751154237
LINC00668,-0.608292425,0.751319041
VCX,-0.504161412,0.751319041
APOBEC3F,0.188510599,0.751644294
LOC105373938,-0.442222798,0.751725138
COMMD6,-0.112307213,0.751994179
SNORD116-21,-0.136739423,0.75230649
LOC105378122,-0.630299542,0.752307949
MPP4,0.348535531,0.752326512
PSMA8,-0.633622465,0.752524983
ADIRF,0.327121007,0.752524983
KANSL3,0.040148678,0.752649116
IL5,-0.614432273,0.752828655
MRPS18C,0.0970902,0.752920672
LOC105378452,-0.342955736,0.752939049
FXR2,-0.083695041,0.752939049
SERPINB12,-0.607241109,0.752958957
DAAM2-AS1,-0.604423026,0.752989115
SCAF1,-0.100551162,0.752989115
DDX51,-0.251027809,0.753321755
LOC105373884,-0.364944527,0.753399124
SEC22B3P,-0.359250113,0.753399124
WDR64,0.383983278,0.753479032
SNORA74D,-0.63398313,0.75350067
C3P1,-0.627769028,0.75350067
LOC105370525,-0.520278417,0.75350067
SAMD15,-0.238857695,0.75350067
UBOX5,-0.058370523,0.75350067
LOC105369225_1,0.639893005,0.75350067
EFHC1,-0.096051967,0.753596017
CDK20,0.080559987,0.753596017
MIR2682,0.420440817,0.753596017
CCNY,-0.049193151,0.753624984
ZBED3-AS1,0.130266494,0.753624984
LOC112268063,0.189563264,0.753624984
LOC107984137,0.494265696,0.753624984
CCL27,0.257274337,0.753658257
LOC105373137,-0.578141162,0.753771301
STX17-DT,0.258305103,0.753771301
TEFM,0.069500592,0.753790066
LOC105373372,-0.582225056,0.75399516
MALT1-AS1,0.204254791,0.754121494
H4C9,-0.209069102,0.754162828
CD99,-0.634911715,0.754257826
RNF139,0.055567152,0.754257826
LINC01252,0.280135019,0.754521932
LINC00658,-0.548584187,0.754567758
FAM209A,0.481235028,0.754576914
MOBP,-0.591641104,0.754665262
STIM2-AS1,0.45349187,0.754665262
ALG1,0.077324965,0.754919929
LOC105374542,-0.552318124,0.754949797
LOC105374879,-0.547076085,0.755052133
MIR1249,0.300389586,0.755052133
LINC02601,0.567030311,0.755052133
LPAL2,-0.287936456,0.755052586
C4BPB,0.613325234,0.755052586
C1GALT1C1_1,-0.454452257,0.755062564
TBC1D16,0.100129077,0.755084175
LOC105378438,0.343308751,0.755425738
LOC107986364,-0.632193911,0.755790982
LOC105379152,0.530205599,0.755790982
LOC107984338,-0.435557412,0.755800847
LOC105371722,-0.168371628,0.75581363
ZNHIT2,0.115901,0.75581363
