Gene,logFC,FDR
ABCC6P1,-1.491279859,0.220299314
LINC01780,-2.097097275,0.220325579
SNHG9,0.82561154,0.220436328
LINC01232,-0.717972979,0.220481384
INSYN1-AS1,0.485485769,0.220481384
GCNT2,-1.956153633,0.220528466
ANKS3,0.261488358,0.220667812
LOC112268014,-1.985414164,0.220806732
LOC105378772,-1.956224124,0.220806732
OVAAL,-1.956224124,0.220806732
LOC105371702,-1.956224124,0.220806732
CHRM3-AS2,-1.956224124,0.220806732
LOC105374610,-1.956224124,0.220806732
LOC105377111,-1.956224124,0.220806732
LOC105377546,-1.956224124,0.220806732
LINC02104,-1.956224124,0.220806732
SPINK14,-1.956224124,0.220806732
LOC105377889,-1.956224124,0.220806732
IL6-AS1,-1.956224124,0.220806732
LOC107987049,-1.956224124,0.220806732
LINC02678,-1.956224124,0.220806732
LOC107984268,-1.956224124,0.220806732
LOC105369706,-1.956224124,0.220806732
LINC01570,-1.956224124,0.220806732
LOC105371525,-1.956224124,0.220806732
LOC105371579,-1.956224124,0.220806732
LINC02097,-1.956224124,0.220806732
LINC00479,-1.956224124,0.220806732
PRKX-AS1,-1.956224124,0.220806732
LOC107984960,-1.956224035,0.220806732
LOC107984964,-1.956224035,0.220806732
ARHGAP29-AS1,-1.956224035,0.220806732
LOC105378859,-1.956224035,0.220806732
ARHGAP15-AS1,-1.956224035,0.220806732
CTD-2194D22.4,-1.956224035,0.220806732
MARCHF11-AS1,-1.956224035,0.220806732
LOC105379010,-1.956224035,0.220806732
MIR583HG,-1.956224035,0.220806732
LOC101927023,-1.956224035,0.220806732
LOC107986367,-1.956224035,0.220806732
LOC105374975,-1.956224035,0.220806732
LOC105375060,-1.956224035,0.220806732
LOC105376097,-1.956224035,0.220806732
LOC105376405,-1.956224035,0.220806732
C10orf126,-1.956224035,0.220806732
OR8B8,-1.956224035,0.220806732
LOC105369621,-1.956224035,0.220806732
GLT1D1,-1.956224035,0.220806732
OR4E1,-1.956224035,0.220806732
LOC105370651,-1.956224035,0.220806732
LOC105370656,-1.956224035,0.220806732
LINC02915,-1.956224035,0.220806732
LOC105370969,-1.956224035,0.220806732
LOC105371314,-1.956224035,0.220806732
LOC105371347,-1.956224035,0.220806732
MYOCD-AS1,-1.956224035,0.220806732
ANKRD62,-1.956224035,0.220806732
LOC107985134,-1.956224035,0.220806732
LOC105372424,-1.956224035,0.220806732
LOC101929707,-1.956224035,0.220806732
LOC105372762,-1.956224035,0.220806732
LOC105372777,-1.956224035,0.220806732
LOC112267915,-1.956224035,0.220806732
LOC105373788,-1.956224023,0.220806732
LOC105378607,-1.956224011,0.220806732
MIR3115,-1.956224011,0.220806732
LOC105378838,-1.956224011,0.220806732
WARS2-IT1,-1.956224011,0.220806732
LOC105373161,-1.956224011,0.220806732
LOC105373220,-1.956224011,0.220806732
LOC102724446,-1.956224011,0.220806732
LOC105373560,-1.956224011,0.220806732
LOC105373572,-1.956224011,0.220806732
LOC107986061,-1.956224011,0.220806732
LOC107986082,-1.956224011,0.220806732
OR5H6,-1.956224011,0.220806732
PLCXD2-AS1,-1.956224011,0.220806732
LOC102724289,-1.956224011,0.220806732
LOC105374171,-1.956224011,0.220806732
LOC101929460,-1.956224011,0.220806732
LOC107986770,-1.956224011,0.220806732
LOC105379303,-1.956224011,0.220806732
LOC112268027,-1.956224011,0.220806732
LOC105376205,-1.956224011,0.220806732
LINC02629,-1.956224011,0.220806732
LOC101929227,-1.956224011,0.220806732
THSD4-AS2,-1.956224011,0.220806732
LOC112268168,-1.956224011,0.220806732
KIF2B,-1.956224011,0.220806732
SNORA118,-1.956224011,0.220806732
CGB2,-1.956224011,0.220806732
MIR181B2,-1.956223999,0.220806732
DIP2A-IT1,-1.737032814,0.220806732
PAX8-AS1,-1.72869692,0.220806732
LOC101927143,-1.680576865,0.220806732
PPP1R3C,-0.468012353,0.220806732
SLC44A2,-0.149973045,0.220806732
REP15,0.560482026,0.220806732
GAS2,0.779699923,0.220806732
LOC105373608,0.790865386,0.220806732
LOC107984859,1.341651425,0.220806732
LOC100288203_1,1.490239913,0.220806732
LOC105373239,-2.107715036,0.220887429
CCDC175,-1.469661801,0.220912808
CHRNA7_2,1.139072477,0.221482684
TAPBP_1,-1.839371829,0.221484026
LOC107984015,1.386775538,0.221560848
LIF-AS2,-1.949587321,0.221643937
MIR646HG,-2.103958698,0.221692449
SNORD124,1.176478494,0.221918236
CCDC125_1,1.054401147,0.221925192
ZC2HC1B,1.889442119,0.222251294
MBOAT4,-1.137170546,0.222306685
USP21,-0.188990407,0.222358767
LOC105369519,-2.080089762,0.222494976
FLJ32255,-1.99319124,0.222624337
DTNB,0.191608987,0.222624337
ZBTB37,0.362827685,0.222634117
GNG4_1,0.607102344,0.222697194
GTF2IP23,-0.803714943,0.22286238
ITPR1-DT,-1.036598513,0.222977809
LOC100268168,0.87244916,0.223024269
HECTD3,-0.277607372,0.223295927
OAT,0.234961963,0.223458944
MIR559,-1.958234736,0.223575302
HSF5,1.730074051,0.223575302
LOC105378593,-2.091135543,0.223698015
LOC105370547,-1.474496122,0.223698015
LOC112268227,-1.732493194,0.223800828
LOC105376233,-1.965117954,0.223829092
STIM2-AS1,-1.482421522,0.223872551
LOC107986623,-1.915321899,0.223909692
RTBDN,0.518045155,0.224047731
COL11A2_2,1.587740829,0.2240607
RPS2,-0.495452115,0.224120075
MIPEPP3,0.41388536,0.224143558
DHCR24,-0.365477713,0.224234374
ST7-AS2,-2.05810564,0.224343537
ABCC6,1.391415195,0.224613922
LOC107984393,0.714792776,0.224797103
BCL2L13,-0.156099001,0.225223957
LOC107986073,-1.921735103,0.225273917
MEN1,-0.299072804,0.225351831
FCHO1,-0.194227828,0.225388797
SMCR8,-1.381905318,0.225390559
LEMD1-AS1,1.427162626,0.225420782
LOC107985484,-1.119738871,0.225422735
SNORA51,-1.140255018,0.225480229
SPDEF,-0.903079977,0.225800453
LOC105372126,-2.058623948,0.225896402
VN2R19P,1.50179719,0.225896402
LOC105369460,-1.945577186,0.226040497
LOC105369816,-0.919369821,0.226040497
DSTN,0.197382994,0.226040497
NKX6-3,1.596168712,0.226040497
LMOD2,-2.063904279,0.226149951
RANBP17,-0.385647902,0.226149951
REELD1,-2.00399628,0.226253665
SLAIN2,0.205235756,0.226422926
COL6A4P1,-1.78544414,0.226440892
LINC00345,-1.454595222,0.226440892
IL1RAPL1,0.827418386,0.226442856
ALKBH1,-0.225619151,0.226684484
PLEKHG2,0.425323678,0.226684484
LOC100134040,-1.990782686,0.226723053
NFE2L1-DT,-1.566674112,0.226806009
LOC107984659,0.570547399,0.226820832
LOC107984442,-1.893576435,0.227050718
TMEM70,0.31757188,0.227143795
ATP5PD,-0.378388709,0.227215309
LOC101926913,1.458299015,0.227247256
SMG1P7,-0.387173847,0.227278928
RFX5-AS1,-0.674896702,0.227387178
NBPF14,-0.364927219,0.227387178
LINC02780,-1.929795177,0.227570033
LOC107985906,-1.929795177,0.227570033
PRR20G,-1.929795177,0.227570033
LOC105375988,-1.929795177,0.227570033
BIN2,-1.929795177,0.227570033
MEPE,-1.929795102,0.227570033
FOXQ1,1.454432106,0.227603164
FAM3D,-1.784275133,0.227604997
SHPRH,-0.334847141,0.227794289
ZMYND12,1.017455739,0.227863754
LRP6,-1.542861843,0.227885719
GTF3C5,-0.245132527,0.22801353
COMMD4P1,1.355527749,0.22805638
CCDC74A,-0.380341894,0.228154923
APOBEC4,-1.966695862,0.228326286
LRIG2,-0.349485912,0.228369025
C2orf74,0.386862439,0.228395836
TNFRSF11B,-1.695629902,0.228479856
MRPL53,0.452377901,0.228479856
ETFDH,-0.251770838,0.228492976
GYS1,-0.134450454,0.228492976
CAMLG,0.239601041,0.2285375
LOC102724329,1.248395253,0.228616812
ZNF654,0.391819019,0.228651344
SAP30-DT,-0.654285119,0.22869305
FGF20,1.219486946,0.228751664
LOC107987137,-2.03120351,0.22886624
RSRP1,0.311677397,0.228888383
H4C14,1.532074142,0.229053995
LOC105373760,1.265757749,0.22908588
MAGEL2,1.296485612,0.229164179
ZNF667,1.397689196,0.22916911
MIR4502,1.801136645,0.22918002
SERPINB12,-1.943126975,0.229361338
ACY3,-1.943041412,0.229371559
LOC339666,0.698467747,0.229371559
TSSC4,0.409372955,0.229397627
LOC102723870,0.988684056,0.229733423
LOC105375337,1.485031379,0.229738291
PISD,-0.22933631,0.22979291
LINC02290,-1.576920601,0.229880785
XKR6,0.506875188,0.229880785
CNGB3,-1.974642627,0.229886756
TRIM7-AS1,1.514893277,0.229886756
LINC00689,1.19481787,0.230237704
LOC105375825,-1.93935369,0.23026295
ITPKA,-1.34133837,0.23026295
PRRG1,-0.257195011,0.23026295
ODAPH,1.32302612,0.230341857
LOC101928336,-2.056712022,0.230515665
ABHD16A_3,1.997668997,0.230630357
PILRB,-1.27132494,0.230648508
ACOT8,0.308041457,0.230648508
LOC105374674,1.58085666,0.230992307
MEG3,1.517436706,0.231125793
MFAP5,1.71517498,0.231125793
MIR31HG,1.371339855,0.231211887
PBRM1,0.28889385,0.231218986
BMP8B,0.691972872,0.231247461
CENPS-CORT,1.614611507,0.231247461
LOC101928255,0.889418563,0.231395828
LINC01977,1.433988333,0.23143492
INO80D,-1.210592967,0.231570952
OR14A16,-1.913162562,0.231695924
LOC107986566,-1.913162562,0.231695924
LOC105378140,-1.913162562,0.231695924
LOC105375501,-1.913162562,0.231695924
LOC105375670,-1.913162562,0.231695924
LOC105376126,-1.913162562,0.231695924
LOC105378375,-1.913162562,0.231695924
LOC105369612,-1.913162562,0.231695924
MANSC4,0.997094862,0.231695924
LOC107986449,-1.930931272,0.232039181
PHEX,-0.80327035,0.232039181
YIPF2,0.495424046,0.232141559
LOC105371372,-1.487297148,0.232223006
TSPAN14,0.169295898,0.232589747
LOC105369614,-1.684117904,0.23264745
LOC105370781,-2.029774055,0.232697628
SELENOO,-0.262493594,0.232709808
UCKL1,0.228897512,0.232724469
LAT2,0.509575904,0.232749583
CEP295NL,-1.541002249,0.232768337
LOC102723493,-1.919950792,0.23300347
LOC105379230_1,-2.024749123,0.233032567
MIR5587,-1.216319072,0.233079266
POLK,0.306367728,0.233343965
LOC100128988,-2.051722234,0.233473794
LOC105376025,1.244161053,0.23357211
LOC105375846,-1.524583192,0.233572761
NDUFB3,0.448518382,0.233572761
ZBTB11,-0.278042529,0.233681893
HERC2_2,-1.755810398,0.233724876
LEPR,-0.415882907,0.233955103
LOC107986079,-0.842762543,0.23403525
CHD2,0.311163968,0.234105978
LINC00970,1.927307127,0.234144934
LOC100192426,-2.017042762,0.234217696
PLAC9P1,-2.043544975,0.234302544
LOC105376952,0.667092811,0.234372581
ALG1L,-0.826759624,0.234400764
LAPTM4A-DT,0.915576241,0.234445131
LOC107986939,0.817826502,0.234518875
SPDYE3,0.412223638,0.234558666
GSTA1,-2.032718546,0.234564583
OAF,-1.419712843,0.235076083
LOC107985708,1.640568912,0.235089135
LOC105373018,1.394888847,0.235157493
LGSN,-0.661383215,0.235322158
LOC105378247,1.544322323,0.235661468
KMT2D,0.463404995,0.235747207
HTR4,1.272290355,0.235747207
OLIG2,-1.214080306,0.235884744
LOC101928191,-1.984116671,0.235885493
MGAT4FP,-1.369004506,0.235943041
MPO,-1.039898229,0.235989436
KCNA7,-1.762242274,0.236113556
LOC107986583,1.097489425,0.236113556
NEUROG3,1.658479001,0.236167323
SMAD5-AS1,-1.605375253,0.23616963
DYNLT4,-1.384209644,0.236258221
MRPS30-DT,-0.589913509,0.236268931
LINC02078,-1.878395159,0.236278155
LOC105377590,-1.110273069,0.236495948
TNFSF13B,-1.321559321,0.236571956
ZNF232,-0.337234278,0.236831472
LOC105378061,-1.99344625,0.236856861
C1orf53,0.841968272,0.236917553
SCRT1,1.714294899,0.236946717
SNHG19,-0.311636216,0.23697302
AGAP4,0.828191895,0.237154966
LOC100996709,-1.381364537,0.237193561
DNM1P35,0.98640259,0.237193561
RGPD6,0.98969826,0.237251315
SNORD35B,-0.675573775,0.237287503
LOC101927510,-1.239533499,0.237302527
LOC107987121,-1.382188219,0.237440213
C1QTNF4_1,1.602169292,0.237644747
MRPL45_1,-0.50030303,0.237716377
ERAP2,1.244018192,0.237834726
PAQR8,-0.192935107,0.23792985
LOC105374418,-1.451918861,0.237965967
MRPS28,-0.642729941,0.238008093
TMEM161B-DT,-0.374926536,0.238008093
OR4D6,-1.676683016,0.238093932
LOC100128108,-1.277829426,0.238203555
HMBOX1,0.237423219,0.238311648
PPIEL,0.67443383,0.238407676
EXOSC6,0.307634037,0.238755127
SLC18A1,-1.849717451,0.238775557
LOC105374358,-1.674573239,0.238826898
WFIKKN2,-1.343975983,0.239108897
MSRA_1,0.733421833,0.239116137
TEX13C,-1.7950165,0.239403059
LOC391322,-2.007649068,0.239488818
ALOX15B,-1.820084387,0.239609843
RPUSD3,-0.249476224,0.239716492
LOC107985882,-1.419019837,0.239977802
LOC105374382,-1.770231068,0.240022354
LOC105370705,-1.427402199,0.240194515
PMS2P3,0.379910146,0.240288849
MIR4784,0.947685674,0.240317818
EXTL3,0.215979073,0.240371741
GABPB1-AS1,-1.986902547,0.240570099
DNAJC9,-0.316659173,0.240653467
LOC107985880,-1.998433796,0.240769396
LRRC63,1.423919565,0.240786634
CFAP300,-0.462276373,0.240829505
DNAJC18,1.689171306,0.240943418
COMMD8,-0.316820425,0.241147866
LINC02453,1.492784804,0.241291769
BLOC1S1-RDH5,1.681288574,0.241291769
ACSL3,-0.294061608,0.24134209
LOC105372473,1.676363166,0.241368786
SLX1A-SULT1A3,1.05594291,0.241373914
LOC101929003,0.313050969,0.241476786
MRPS36,0.499283806,0.241606263
LINC01362,-1.903203729,0.241649605
LOC105378126,-1.903203729,0.241649605
CXorf38,-0.207852141,0.24165663
DES,-0.422889248,0.241707319
VPS72,0.268027506,0.241752695
BAZ2B,0.394836328,0.241752695
LINC02554,-1.370838934,0.241805677
LOC105370993,-1.929952002,0.241857347
GNAT3,-1.229248009,0.242055392
LOC105377806,1.864972075,0.242055392
LOC105374021,-1.884713998,0.242440777
MIR9851,1.324349782,0.242555464
COA6-AS1,0.786459536,0.242714805
UBE2MP1,0.413584991,0.242790219
SNHG8,-0.449709231,0.242982833
SNORD60,-1.488864573,0.243027409
LOC105375243,-1.924369304,0.243059522
TAF1C,0.295403792,0.243059522
LOC105373209,-1.918994562,0.243064233
SLA2,-1.082585322,0.243107242
AP1G1,0.202801343,0.243228943
SPRY4-AS1,-1.099240452,0.243352806
LOC105378949,0.550178375,0.24362616
FADD,-0.433345166,0.243719361
PNLIPRP1,-2.007281117,0.243820657
LOC105373928,1.62179482,0.243881545
LOC100507513,-1.91316543,0.243903423
ZNF738,0.125422636,0.243949904
KPNA5,0.399569946,0.243949904
TMEM131,-0.310692013,0.244304474
LOC105370564,-2.009478134,0.244351196
NPY2R,-1.941980899,0.244351196
GDF5,1.631700208,0.244351196
LOC105371665,1.832251187,0.244455006
LOC112267902_4,1.9324877,0.244455006
STRIT1,-1.933850711,0.244595493
SSX4,-2.003793829,0.244742766
ZNF444,-0.25816066,0.244826235
GPR156,-0.398782775,0.244877637
CHRNB1_1,-1.245765474,0.24488162
LOC107985966,-1.994140552,0.244942598
HEATR6-DT,1.72885352,0.24494595
R3HDM1,0.406580488,0.24497372
ZYX,-1.360990492,0.245186916
RPSAP9,-0.589398703,0.245186916
BMS1P2-AGAP9,1.06442304,0.245186916
ACE2,-1.284735005,0.245189302
LINC00923,1.799637733,0.245679421
GPR158-AS1,1.687926251,0.245768931
CNTFR-AS1,1.234128157,0.245899818
LOC105372401,-0.999862792,0.245920328
LINC02731,1.027245759,0.245982187
EPN2-IT1,-1.839816137,0.246060508
LOC101929452,-1.622134602,0.246072996
RUVBL1-AS1,1.721407207,0.246072996
ZNF418,0.320854293,0.246168862
PGLYRP1,-1.392818168,0.246590909
DEPTOR,-0.702114085,0.246657876
ADAL,0.296369128,0.246707993
LOC105379330,1.36139621,0.246738666
LOC112268104,1.059824736,0.246777032
RSF1,-0.295509937,0.246833743
MYADM-AS1,-0.923670713,0.246865386
WIPI2,0.165981462,0.24733979
LOC107985568,1.817226449,0.247382648
LOC107986446,-1.154579208,0.247431316
FAM85A,1.128264174,0.247432401
ISM1,-0.740408856,0.247668135
LOC105378298,1.674159624,0.247721362
ALKBH4,0.295266468,0.247721731
LINC00443,-1.880507958,0.248151671
LOC107985082,-1.795366722,0.248151671
SLC26A8,0.966756403,0.248151671
BAALC-AS2,1.686903476,0.248151671
LOC107987102,-1.584625412,0.248210828
DPM2,0.264465136,0.248248624
LOC105376600,0.671781596,0.248347229
TSEN34_7,-1.989117876,0.248429708
TMEM71,1.631242347,0.248660485
ZNF808,-0.26618978,0.248788702
MADCAM1,0.625754994,0.248850242
OVGP1,0.493962133,0.248856424
CALML6,0.904053844,0.248984482
EMD,-0.487136848,0.249227225
LOC105378250,-1.470278797,0.249666239
XXYLT1-AS2,-1.968569503,0.249700752
CCND2-AS1,-0.615646358,0.249739152
LOC107984817,1.082539268,0.249822066
KIAA1755,1.064413745,0.250046413
RAF1,0.109840073,0.250162928
LOC102724682,1.355931487,0.250467235
LOC102723342,-0.488827464,0.250560414
ADAMTS9,-0.737241801,0.250595659
LOC105379198,-1.647576979,0.250807977
SLC4A1AP,0.169002506,0.250857372
SNORA72,-1.062108032,0.250870942
INKA2,-0.287527707,0.251100373
LOC105371056,0.526904209,0.251250543
LOC105378710,1.497947017,0.251384007
C3orf80,0.528676823,0.25146469
CSNK1G2,-0.340049336,0.25152758
TCAIM,-0.191175453,0.251570012
ADD3-AS1,-1.140703381,0.251571359
CKAP5,0.237916439,0.251571359
HIGD1A,-0.348473891,0.251727429
FRS2,-0.257041736,0.251791547
KEAP1,0.186710671,0.251915497
EPB41L5,0.272550147,0.251983075
HHAT,1.464348684,0.252000195
LOC105374216,-1.106376776,0.252069309
TEPP,1.083649009,0.252069309
VBP1,-0.226640885,0.252213897
CDK7,-1.700647162,0.252223498
LOC105378805,1.513193329,0.252358191
DICER1,0.313034499,0.25237113
CTF1,-1.095169842,0.252476286
CBLB,0.315087961,0.252476286
PROCA1,0.202461843,0.252657043
LOC107985868,-1.946957168,0.25266118
PAFAH1B2,-0.117020212,0.252673796
AKTIP,0.191895802,0.252673796
CPLX3,-1.14809912,0.252722982
LOC112268051,1.395453598,0.252750766
NPAS4,-0.552245311,0.252752463
VCX,-1.518162423,0.25281082
UBLCP1,-0.211366265,0.252953815
LOC105378483,-1.540317905,0.253207141
LINC01902,1.048394737,0.253246876
LINC01285,1.0632766,0.253323074
CFD_1,1.589596403,0.253328372
LOC105376624,-1.051734503,0.253372065
LOC105369782,-1.52411338,0.253739654
LINC01126,-1.087759379,0.25374584
PPIA,-0.439595671,0.25374584
KCNH7-AS1,-1.946175561,0.254091527
NADK2-AS1,1.230524078,0.254091527
TAS2R31_2,-1.069499762,0.254430404
PIBF1,0.195622707,0.254609603
METTL15,-0.164274016,0.254709895
COPB1,-0.096701808,0.254709895
LOC101929626,1.220329686,0.254709895
TNFAIP8L1,-0.222781603,0.254730309
POLI,-0.353943948,0.254947046
LOC105378728,-1.038902302,0.254951242
NOTCH2NLR,-1.128210283,0.255001216
CXCL14,0.680247074,0.255078564
LOC101927383,-1.722122835,0.255332753
FAM120AOS,-0.08040931,0.255429985
CD24,0.187760751,0.255832243
SCRN2,-0.274589783,0.255988296
ESRRA,-0.413516282,0.256019856
LOC105377208,1.749364267,0.256140528
ZNF391,0.200326734,0.256424337
RP1L1,-1.316373326,0.256509078
SNHG29,-0.1745777,0.256723994
FBH1,0.21797263,0.256744203
UOX,-1.963630495,0.256932349
LIX1,0.834155778,0.256932349
C12orf60,-0.367033567,0.257197742
RNF20,0.12833316,0.257197742
OTUD1,0.206908341,0.257332355
LOC102723636,0.672610548,0.257332611
LOC105377399,1.105598023,0.257465954
LOC105372602,1.488774312,0.257465954
ZNF524,0.340011539,0.257523664
C5orf51,0.448079133,0.25757428
LINGO1-AS1,-1.912718585,0.257649252
LOC101929237,-1.944464256,0.257718461
MRPS17,-0.338159473,0.257736461
LOC105375566,-1.756695868,0.257843524
SPEF1,0.702518306,0.257848187
RNFT1-DT,-0.926436799,0.257849612
LOC105372104,1.655693221,0.257950419
SEC61G,-0.38679662,0.258103513
LOC107986933,-1.937627505,0.258120397
LOC105372721_1,-1.610437188,0.258120397
LOC105373611,-1.957408121,0.258182004
SLC4A4,0.588291527,0.258262719
LINC01690,1.39280379,0.258262719
LOC107986661,1.890085568,0.258406454
ART4,-1.280045311,0.258687811
CFDP1,0.214625614,0.25893226
ADH4,-1.46788284,0.259023337
SNORA15,-1.821858014,0.25907585
AP3S1,0.197075986,0.259141991
LOC105375489,-0.911355957,0.259151432
CAP1,-0.261053594,0.259345011
ARMC3,-1.879134612,0.259380155
SNORD3K,1.672918262,0.259392276
MT1HL1,-1.813389927,0.259434303
LINC01816,0.533565453,0.259497743
CANX,1.202900792,0.259711534
SNORA14A,1.497638372,0.259907143
OR1L8,1.663512225,0.259907143
LOC105373802,-1.324051426,0.260049854
DNAJB4,0.332696128,0.260085422
LOC112268466,-1.808954676,0.26010079
LINC00511,-1.808954676,0.26010079
OR5E1P_2,-1.808954676,0.26010079
LOC105370624,-0.850919387,0.26010079
RAPGEF2,0.355888935,0.26010079
FGGY-DT,0.723623803,0.260345503
LTK,1.407163339,0.260483275
LOC105375871,-1.001646932,0.260891943
EIF2AK3-DT,0.575115002,0.26091293
GTF2H2C_2,-0.630744852,0.260916978
GLRA4,-0.647122415,0.260992975
BET1L,0.148142349,0.261279618
LOC107985360,-0.644632052,0.261381491
LINC01823,-1.946080776,0.261415792
TECR,-0.203813728,0.261427435
LOC105371573,-1.039552398,0.261428787
LOC105370831,-1.861549974,0.261434334
LOC107985656,1.108122361,0.261447524
LOC105373480,0.830899877,0.261569216
SIKE1,0.106432475,0.261620828
LOC105372309,1.317060066,0.261646217
GORAB-AS1,-1.52066163,0.261892161
FAM157A_1,-0.580796716,0.261892161
ATP5PB,-0.274557473,0.261892161
LOC112268321_1,1.313193995,0.262055858
TNFSF18,1.556329379,0.26205848
C12orf75,-0.33067908,0.26224637
CTDP1,-0.305988296,0.262375758
LOC105370475,-1.92574736,0.262529744
NME7,-0.185175533,0.262529744
OR2L5,1.754166468,0.262705404
MIR3916,-1.356009588,0.263078666
LOC107986097,-1.322318234,0.263094101
KLF2,0.895718611,0.26328479
LOC105378178,-1.624172182,0.263288392
LATS1,0.282843441,0.263332725
LOC105375920,-1.646285259,0.263351381
UBTD1,-0.304449704,0.263454448
ZBED6,0.526154365,0.263475746
RABGGTA,1.528380163,0.26352666
DLX3,-1.112385321,0.263529593
SRA1,0.271694663,0.263629894
LINC01905,-1.925855262,0.263728708
CHRNE,-0.845052949,0.263728708
SPSB3,1.018586389,0.263748401
PSKH1,-0.288403573,0.263777588
LOC107986848,-1.804607715,0.263796715
LINC02487,1.236833873,0.263952389
ZNF732,1.349319228,0.263952389
LINC00470,-1.905913979,0.264130773
RUFY1_1,1.001009158,0.264130773
RB1CC1,-0.232191093,0.264177396
SFXN1,0.089328061,0.264177396
AKR1E2,0.366167189,0.264177396
NALCN-AS1,1.404425299,0.26423613
FAR2P1,-0.458793307,0.264319092
LOC107986178,-1.085142483,0.264366251
BSX,1.717971809,0.26445259
SOX30,-1.108226049,0.264595283
UBE2E1-AS1,-1.055635241,0.264595283
CHCHD2,0.361209759,0.264796649
LRP2,0.759897308,0.264822766
PDZD3,-1.27025976,0.264920015
AGBL3,0.362609668,0.26505311
LOC100506289,1.473527621,0.265248184
LOC107986326,0.867761413,0.265303221
PKD1P1,0.801875417,0.265309268
LOC105379283,-0.807078022,0.265688417
PSMC4,1.772876121,0.265774617
TNFAIP8L2,1.542940168,0.265795425
LINC00240,-0.953214545,0.265809524
LOC105376567,-1.898360874,0.26588371
LOC105371739,-1.898305541,0.26588371
LOC101926964,-1.895776027,0.26588371
PARGP1,-0.643254863,0.26597086
TGM1,1.867873916,0.26597086
FBXL21P,0.914247473,0.26614282
DPP10-AS1,0.53982686,0.26615514
LOC105371281,1.685234211,0.26615514
SAMD4A,0.463177674,0.266271633
LOC107985304,-1.077654549,0.266280888
SNF8,0.252961315,0.266350663
FAM207A,-0.636259642,0.266374424
MIR6748,0.917715822,0.266436872
ZYX_1,1.478083586,0.266735728
LRP5L,0.368194481,0.266827723
PPIAP30,-1.890996422,0.266979691
SNORD38B,-0.791381469,0.267126467
RGPD4,-0.482504388,0.267352027
LOC101928462,1.127960609,0.267511112
LOC102723575,-1.543896407,0.26751747
CCIN,-1.664364157,0.267787599
RN7SK,0.483233989,0.267813387
MROH2A,-1.882464414,0.268161006
MOAP1,0.658184705,0.268161006
PMS2P2,0.986134941,0.268194829
UNK,0.166121171,0.268237087
PHF23,0.261545564,0.268288421
LOC107987071,1.535927452,0.268535289
LOC105372347,-1.787232357,0.268552911
SNORA80B,-1.810829522,0.268682506
LOC100130331,0.989747782,0.268693965
KCNK15,0.56738424,0.268702475
OPALIN,-1.887968859,0.26877506
VPS39-DT,1.273482896,0.268870068
DDR1_4,-1.368606747,0.268994333
BFSP2,-1.598484275,0.269256234
ING5,-0.321632431,0.269256234
CCDC187,1.206460844,0.269256234
BOD1L1,-0.378809791,0.269519392
NWD1,1.375478763,0.269580317
SPATA2,0.264386491,0.269757161
CTTN_1,1.302876632,0.269772844
DNAI3,-1.00094375,0.269872883
RBMS1,0.14238263,0.270037167
RGS5-AS1,-1.805757097,0.270284276
LOC107985908,1.176222484,0.270284276
ADAMTSL3,0.794004064,0.270367495
ING1,0.159621715,0.270487837
SLC22A2,-1.819432384,0.271174955
LOC105370567,-0.669053808,0.271479496
CLEC4E,-1.388799593,0.271799769
TSEN34_1,1.898091838,0.271799769
HP11014,-0.49165549,0.271810499
LOC105377460,-1.904956779,0.271938339
EMCN,-1.875698556,0.271938339
COX5B,0.375817582,0.27207717
NDUFB7,0.470785681,0.272128374
BECN1,0.120032819,0.272219504
LOC107985878,-0.801446191,0.272315353
MS4A10,-1.904911914,0.272385474
CACNB2,-0.543194767,0.272385474
LOC105379185,1.331306332,0.272933029
CETN4P,1.117080312,0.27309669
LOC105369677,1.541664895,0.273206413
DNAI1,0.689341046,0.273310195
LEF1,0.666198198,0.273421317
LOC105374325,-1.677528151,0.273425466
LOC107985141,1.570968025,0.273425466
ASNSD1,0.172297923,0.2735414
CEROX1,0.756044145,0.273971082
LOC105371289,1.40963382,0.274082765
GGACT,-0.383217767,0.274097784
SPTA1,-1.529139583,0.274153844
LOC105370348,-0.904392805,0.274222176
LINC02373,-1.735656382,0.274347087
FBF1,0.244086831,0.274609994
LOC107984781,-1.896495451,0.274624708
MYCT1,-1.07512017,0.274673455
LINC01569,-0.773105464,0.274673455
LOC105371619,-1.692674594,0.274903316
ELK1,0.483192692,0.274987399
ZC3H18-AS1,1.057543312,0.275351491
LOC107986401,-1.786725919,0.275382492
LOC105378620,-1.773128538,0.275434368
LOC105374657,1.57150799,0.275434368
ZDHHC4,-0.154468073,0.275488352
PDE1A,0.839434645,0.275681744
LOC105376885,1.183734756,0.27597474
LOC107987112,-1.756411878,0.276023709
ARL17A_1,0.842356827,0.276045827
SEPTIN12,1.325980715,0.276053853
PABPC4-AS1,-1.475722416,0.276057602
ABTB2,0.355435681,0.276057602
ZNF354A,-0.246926487,0.276097367
EP400P1_1,1.229505676,0.276157224
HLA-H_4,-1.283246929,0.276287786
HEPH,-0.122661727,0.276376254
LOC105378438,1.094172752,0.276376254
GLT8D2,0.273113974,0.276703671
LRP4-AS1,0.606640356,0.276917964
DHRS11,-1.402548794,0.277286086
LOC107985227,-1.776775052,0.277415838
LOC100505978,-1.19219993,0.277415838
TMEM248,0.108959463,0.277415838
LINC01409,0.665786969,0.277508934
